StockCode,Description,Quantity,TotalPrice,cumQty,cumPct
21931,JUMBO STORAGE BAG SUKI,13654,30770.12,1036490,0.18415246585462314
23201,JUMBO BAG ALPHABET,13379,27890.170000000002,1049869,0.1865295035883871
84992,72 SWEETHEART FAIRY CAKE CASES,13360,6555.33,1063229,0.18890316560521098
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,1076557,0.19127114220403046
20719,WOODLAND CHARLOTTE BAG,13310,16759.75,1089867,0.1936359207552225
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,13212,11319.36,1103079,0.19598328771377616
20668,DISCO BALL CHRISTMAS DECORATION,12979,1512.92,1116058,0.1982892577224855
22993,SET OF 4 PANTRY JELLY MOULDS,12672,16507.23,1128730,0.20054068325221544
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12602,28634.95,1141332,0.20277967193006083
22969,HOMEMADE JAM SCENTED CANDLES,12532,18788.55,1153864,0.20500622375602165
84978,HANGING HEART JAR T-LIGHT HOLDER,12512,16477.53,1166376,0.20722922219572976
22998,TRAVEL CARD WALLET KEEP CALM,12490,5314.9,1178866,0.20944831191055985
21975,PACK OF 60 DINOSAUR CAKE CASES,12340,6117.910000000001,1191206,0.21164075122849446
21181,PLEASE ONE PERSON METAL SIGN,12305,25290.58,1203511,0.2138269721204868
20727,LUNCH BAG  BLACK SKULL.,12240,22421.21,1215751,0.21600164450715775
23206,LUNCH BAG APPLE DESIGN,12183,20911.98,1227934,0.21816618974300844
23307,SET OF 60 PANTRY DESIGN CAKE CASES ,12063,6379.59,1239997,0.22030941466134274
23310,BUBBLEGUM RING ASSORTED,12050,4997.28,1252047,0.22245032987861277
20728,LUNCH BAG CARS BLUE,11817,21750.63,1263864,0.22454984814603848
22630,DOLLY GIRL LUNCH BOX,11793,21635.14,1275657,0.22664510234996094
21175,GIN + TONIC DIET METAL SIGN,11727,25836.57,1287384,0.22872863037924937
21137,BLACK RECORD COVER FRAME,11656,40652.13,1299040,0.23079954388734059
22659,LUNCH BOX I LOVE LONDON,11523,20818.7,1310563,0.23284682737685117
23203,JUMBO BAG VINTAGE DOILY ,11464,24522.36,1322027,0.2348836283769162
20713,JUMBO BAG OWLS,11444,23030.96,1333471,0.2369168759907285
21929,JUMBO BAG PINK VINTAGE PAISLEY,11007,23181.14,1344478,0.23887248211491866
20971,PINK BLUE FELT CRAFT TRINKET BOX,11001,13838.1,1355479,0.24082702222323296
23202,JUMBO BAG VINTAGE LEAF,10962,21852.81,1366441,0.24277463322835446
71459,HANGING JAM JAR T-LIGHT HOLDER,10792,8560.84,1377233,0.24469204045032775
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,10610,4075.9399999999996,1387843,0.2465771118574012
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,10604,32873.340000000004,1398447,0.24846111724859882
21326,AGED GLASS SILVER T-LIGHT HOLDER,10583,6890.47,1409030,0.2503413915842311
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,10557,8754.63,1419587,0.2522170465177348
21498,RED RETROSPOT WRAP ,10551,4322.42,1430138,0.2540916354353627
22384,LUNCH BAG PINK POLKADOT,10515,17435.19,1440653,0.2559598282577356
21232,STRAWBERRY CERAMIC TRINKET BOX,10484,14130.08,1451137,0.25782251333141687
22382,LUNCH BAG SPACEBOY DESIGN ,10464,18092.36,1461601,0.2596816450188454
22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,10462,3877.68,1472063,0.2615404213676486
23077,DOUGHNUT LIP GLOSS ,10415,13720.77,1482478,0.26339084725875794
21166,COOK WITH WINE METAL SIGN ,10364,20957.64,1492842,0.2652322120149228
22383,LUNCH BAG SUKI DESIGN ,10333,18750.579999999998,1503175,0.26706806902239594
84212,"ASSORTED FLOWER COLOUR ""LEIS""",10315,4934.87,1513490,0.26890072798224157
79321,CHILLI LIGHTS,10309,54117.76,1523799,0.27073232092621147
23344,JUMBO BAG 50'S CHRISTMAS ,10306,23815.75,1534105,0.2725633808622434
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,10253,18069.280000000002,1544358,0.2743850243247056
20726,LUNCH BAG WOODLAND,9934,18323.38,1554292,0.27614999127643675
22470,HEART OF WICKER LARGE,9902,30139.41,1564194,0.27790927281016353
22699,ROSES REGENCY TEACUP AND SAUCER ,9878,29095.27,1574072,0.27966429028038703
20723,STRAWBERRY CHARLOTTE BAG,9798,12552.4,1583870,0.2814050942055996
20712,JUMBO BAG WOODLAND ANIMALS,9773,22092.42,1593643,0.2831414563979963
22489,PACK OF 12 TRADITIONAL CRAYONS,9721,4072.97,1603364,0.2848685797861359
22356,CHARLOTTE BAG PINK POLKADOT,9721,11420.289999999999,1613085,0.28659570317427546
22610,PENS ASSORTED FUNNY FACE,9608,2578.24,1622693,0.28830274993008714
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,9476,26463.829999999998,1632169,0.28998634433663073
21703,BAG 125g SWIRLY MARBLES,9390,3528.89,1641559,0.29165465918228767
22077,6 RIBBONS RUSTIC CHARM,9183,17205.37,1650742,0.2932861964802288
22457,NATURAL SLATE HEART CHALKBOARD ,9172,28147.960000000003,1659914,0.29491577941573094
22988,SOLDIERS EGG CUP ,9137,10938.31,1669051,0.29653914392529074
82482,WOODEN PICTURE FRAME WHITE FINISH,9006,23113.260000000002,1678057,0.29813923375489526
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,8987,8050.53,1687044,0.2997359478675596
84970S,HANGING HEART ZINC T-LIGHT HOLDER,8905,7672.41,1695949,0.3013180930965878
16045,POPART WOODEN PENCILS ASST,8900,380.0,1704849,0.30289934997905277
23203,JUMBO BAG DOILEY PATTERNS,8895,17272.85,1713744,0.3044797185149546
21787,RAIN PONCHO RETROSPOT,8878,7163.65,1722622,0.3060570666725416
23301,GARDENERS KNEELING PAD KEEP CALM ,8825,16357.05,1731447,0.3076249983565589
21985,PACK OF 12 HEARTS DESIGN TISSUES ,8803,2737.6299999999997,1740250,0.3091890213156981
21094,SET/6 RED SPOTTY PAPER PLATES,8758,6933.259999999999,1749008,0.3107450491557687
22960,JAM MAKING SET WITH JARS,8717,37128.88,1757725,0.31229379255402123
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,8706,10297.27,1766431,0.31384058158983474
22558,CLOTHES PEGS RETROSPOT PACK 24 ,8689,13346.039999999999,1775120,0.31538435024733347
22385,JUMBO BAG SPACEBOY DESIGN,8684,17081.86,1783804,0.31692723055826894
21497,FANCY FONTS BIRTHDAY WRAP,8600,3430.0,1792404,0.318455186646943
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,8560,24438.620000000003,1800964,0.3199760359631116
22741,FUNKY DIVA PEN,8547,7363.86,1809511,0.32149457557821587
22865,HAND WARMER OWL DESIGN,8498,17910.030000000002,1818009,0.32300440939700104
23298,SPOTTY BUNTING,8498,42548.130000000005,1826507,0.32451424321578615
23293,SET OF 12 FAIRY CAKE BAKING CASES,8486,7001.99,1834993,0.3260219450028196
22417,PACK OF 60 SPACEBOY CAKE CASES,8426,4566.54,1843419,0.3275189866310949
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,8414,17245.93,1851833,0.32901389622761856
23309,SET OF 60 I LOVE LONDON CAKE CASES ,8332,4527.2,1860165,0.330494236940506
22666,RECIPE BOX PANTRY YELLOW DESIGN,8297,26240.600000000002,1868462,0.3319683592274512
22189,CREAM HEART CARD HOLDER,8291,23463.47,1876753,0.3334414154985205
85152,HAND OVER THE CHOCOLATE   SIGN ,8272,15983.330000000002,1885025,0.3349110960526498
22029,SPACEBOY BIRTHDAY CARD,8185,3397.65,1893210,0.3363653193765797
22560,TRADITIONAL MODELLING CLAY,8168,9602.32,1901378,0.3378165223221948
21891,TRADITIONAL WOODEN SKIPPING ROPE,8146,10526.0,1909524,0.33926381654293186
23076,ICE CREAM SUNDAE LIP GLOSS,8100,9965.76,1917624,0.3407029379752876
22551,PLASTERS IN TIN SPACEBOY,8082,13615.31,1925706,0.3421388613600159
22791,T-LIGHT GLASS FLUTED ANTIQUE,8027,9963.880000000001,1933733,0.34356501293254926
23230,WRAP ALPHABET DESIGN,8001,3228.42,1941734,0.344986545102954
23204,CHARLOTTE BAG APPLES DESIGN,7976,7741.94,1949710,0.3464036355405429
22467,GUMBALL COAT RACK,7962,18890.47,1957672,0.34781823860775485
84692,BOX OF 24 COCKTAIL PARASOLS,7915,4329.48,1965587,0.3492244912172729
21791,VINTAGE HEADS AND TAILS CARD GAME ,7890,10535.65,1973477,0.350626302093975
21733,RED HANGING HEART T-LIGHT HOLDER,7882,23228.74,1981359,0.352026691616176
21914,BLUE HARMONICA IN BOX ,7879,10343.56,1989238,0.3534265481304391
23207,LUNCH BAG ALPHABET DESIGN,7851,13360.2,1997089,0.35482142990394844
22727,ALARM CLOCK BAKELIKE RED ,7815,30701.12,2004904,0.3562099155822028
22554,PLASTERS IN TIN WOODLAND ANIMALS,7813,13344.769999999999,2012717,0.3575980459218319
21982,PACK OF 12 SUKI TISSUES ,7612,2304.14,2020329,0.35895046472962105
22090,PAPER BUNTING RETROSPOT,7588,22790.960000000003,2027917,0.36029861947390696
22951,60 CAKE CASES DOLLY GIRL DESIGN,7518,4010.55,2035435,0.3616343373663083
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7493,38158.39,2042928,0.3629656135258937
22966,GINGERBREAD MAN COOKIE CUTTER,7448,9212.15,2050376,0.3642888945664105
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7362,9159.31,2057738,0.3655968960460405
82583,HOT BATHS METAL SIGN,7306,17047.06,2065044,0.3668949480441629
22697,GREEN REGENCY TEACUP AND SAUCER,7304,22826.3,2072348,0.36819264470366003
M,Manual,7230,78110.27,2079578,0.36947719383402206
16161P,WRAP ENGLISH ROSE ,7226,2990.92,2086804,0.37076103228713353
21918,SET 12 KIDS COLOUR  CHALK STICKS,7200,2950.67,2094004,0.3720402513381164
21086,SET/6 RED SPOTTY PAPER CUPS,7137,4861.900000000001,2101141,0.37330827722240323
75049L,LARGE CIRCULAR MIRROR MOBILE,7114,6827.98,2108255,0.3745722167124994
23200,JUMBO BAG PEARS,7071,14197.28,2115326,0.37582851642215226
20974,12 PENCILS SMALL TUBE SKULL,6983,4531.9800000000005,2122309,0.37706918123229305
21499,BLUE POLKADOT WRAP,6952,2819.84,2129261,0.3783043382937421
22379,RECYCLING BAG RETROSPOT ,6910,15636.99,2136171,0.37953203324406043
21829,DINOSAUR KEYRINGS ASSORTED,6873,1483.4199999999998,2143044,0.3807531544298112
23170,REGENCY TEA PLATE ROSES ,6869,11117.05,2149913,0.3819735649383114
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6847,19130.37,2156760,0.3831900667219337
22740,POLKADOT PEN,6842,5793.62,2163602,0.38440568015899274
23078,ICE CREAM PEN LIP GLOSS ,6831,8553.34,2170433,0.38561933923361275
23300,GARDENERS KNEELING PAD CUP OF TEA ,6827,11815.689999999999,2177260,0.38683228763098226
22065,CHRISTMAS PUDDING TRINKET POT ,6763,3470.83,2184023,0.388033865192343
82494L,WOODEN FRAME ANTIQUE WHITE ,6749,19640.79,2190772,0.38923295538332686
22662,LUNCH BAG DOLLY GIRL DESIGN,6724,11090.58,2197496,0.39042760384149483
21980,PACK OF 12 RED RETROSPOT TISSUES ,6687,2121.7599999999998,2204183,0.3916156785350952
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6640,4387.820000000001,2210823,0.39279540277100167
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6635,9050.44,2217458,0.393974238660345
21121,SET/10 RED POLKADOT PARTY CANDLES,6634,8033.85,2224092,0.3951528968803756
22866,HAND WARMER SCOTTY DOG DESIGN,6632,14410.62,2230724,0.396331199761781
15034,PAPER POCKET TRAVELING FAN ,6591,840.0200000000001,2237315,0.3975022182013683
22907,PACK OF 20 NAPKINS PANTRY DESIGN,6587,5681.9,2243902,0.398672525963705
22418,10 COLOUR SPACEBOY PEN,6564,5585.45,2250466,0.3998387473318511
23209,LUNCH BAG VINTAGE DOILY ,6562,10820.1,2257028,0.40100461336137194
23209,LUNCH BAG DOILEY PATTERN ,6556,10510.44,2263584,0.40216941337501694
22045,SPACEBOY GIFT WRAP,6552,2683.84,2270136,0.4033335027114114
21930,JUMBO STORAGE BAG SKULLS,6450,14031.16,2276586,0.40447946977791693
22867,HAND WARMER BIRD DESIGN,6441,14078.69,2283027,0.40562383782060873
22726,ALARM CLOCK BAKELIKE GREEN,6430,27196.53,2289457,0.40676625150086154
21889,WOODEN BOX OF DOMINOES,6403,8862.29,2295860,0.40790386810967316
23245,SET OF 3 REGENCY CAKE TINS,6357,31177.95,2302217,0.40903331193010345
21500,PINK POLKADOT WRAP ,6350,2593.0,2308567,0.41016151206534535
84378,SET OF 3 HEART COOKIE CUTTERS,6350,8540.9,2314917,0.41128971220058724
23208,LUNCH BAG VINTAGE LEAF DESIGN,6342,10498.01,2321259,0.41241649098132804
23171,REGENCY TEA PLATE GREEN ,6247,10051.99,2327506,0.41352639117736834
22585,PACK OF 6 BIRDY GIFT TAGS,6233,7561.64,2333739,0.41463380400303174
22147,FELTCRAFT BUTTERFLY HEARTS,6230,8626.939999999999,2339969,0.41574068382075724
22595,GINGHAM HEART DECORATION,6152,5125.46,2346121,0.4168337054320971
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,6151,3279.21,2352272,0.4179265493741243
22621,TRADITIONAL KNITTING NANCY,6150,10056.949999999999,2358422,0.4190192156468389
23295,SET OF 12 MINI LOAF BAKING CASES,6140,5078.429999999999,2364562,0.4201101052264271
22556,PLASTERS IN TIN CIRCUS PARADE ,6118,10070.109999999999,2370680,0.4211970860811373
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6084,17655.8,2376764,0.4222780261792179
23343,JUMBO BAG VINTAGE CHRISTMAS ,6081,13978.95,2382845,0.4233584332693605
22149,FELTCRAFT 6 FLOWER FRIENDS,6078,12373.880000000001,2388923,0.4244383073515653
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,6065,6412.7699999999995,2394988,0.4255158717327058
21231,SWEETHEART CERAMIC TRINKET BOX,6063,7628.530000000001,2401051,0.42659308077522096
22440,BALLOON WATER BOMB PACK OF 35,6034,2385.12,2407085,0.4276651374076697
22112,CHOCOLATE HOT WATER BOTTLE,6026,32866.18,2413111,0.42873577268561736
22555,PLASTERS IN TIN STRONGMAN,6023,9863.279999999999,2419134,0.4298058749556271
82484,WOOD BLACK BOARD ANT WHITE FINISH,6020,36030.22,2425154,0.4308754442176989
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5978,24483.66,2431132,0.43193755136864004
72741,GRAND CHOCOLATECANDLE,5978,8225.0,2437110,0.4329996585195811
22609,PENS ASSORTED SPACEBALL,5946,1381.78,2443056,0.43405608025251785
21810,CHRISTMAS HANGING STAR WITH BELL,5945,3022.79,2449001,0.43511232431614194
84836,ZINC METAL HEART DECORATION,5944,7426.82,2454945,0.4361683907104534
22561,WOODEN SCHOOL COLOURING SET,5888,9749.82,2460833,0.4372145076232572
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5884,395.61,2466717,0.43825991385881047
82580,BATHROOM METAL SIGN,5883,3474.31,2472600,0.4393051424250511
23167,SMALL CERAMIC TOP STORAGE JAR ,5847,4476.009999999999,2478447,0.4403439748960368
23355,HOT WATER BOTTLE KEEP CALM,5841,28842.550000000003,2484288,0.4413817413511467
22698,PINK REGENCY TEACUP AND SAUCER,5825,17551.760000000002,2490113,0.4424166650972544
21210,SET OF 72 RETROSPOT PAPER  DOILIES,5812,8374.189999999999,2495925,0.4434492791422978
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,5805,8161.46,2501730,0.4444806495021528
21495,SKULLS AND CROSSBONES WRAP,5800,2356.0,2507530,0.44551113151544464
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,2513330,0.4465416135287364
22114,HOT WATER BOTTLE TEA AND SYMPATHY,5748,33002.590000000004,2519078,0.44756285673777113
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,5737,17073.65,2524815,0.4485821455843668
40016,CHINESE DRAGON PAPER LANTERNS,5556,2136.34,2530371,0.4495692762853753
22030,SWALLOWS GREETING CARD,5551,2247.97,2535922,0.4505555186398206
22294,HEART FILIGREE DOVE  SMALL,5534,6901.33,2541456,0.45153874061595106
21668,RED STRIPE CERAMIC DRAWER KNOB,5528,7527.66,2546984,0.45252089657620576
23284,DOORMAT KEEP CALM AND COME IN,5491,38166.64,2552475,0.45349647877189286
21981,PACK OF 12 WOODLAND TISSUES ,5482,1655.36,2557957,0.4544704619437662
23205,CHARLOTTE BAG VINTAGE ALPHABET ,5459,5407.58,2563416,0.455440358721449
21871,SAVE THE PLANET MUG,5454,6681.21,2568870,0.4564093671525685
22759,SET OF 3 NOTEBOOKS IN PARCEL,5445,9043.939999999999,2574315,0.45737677655987435
21877,HOME SWEET HOME MUG,5418,6942.33,2579733,0.45833938889573905
22728,ALARM CLOCK BAKELIKE PINK,5364,20702.15,2585097,0.4592924070887213
85175,CACTI T-LIGHT CANDLES,5353,2292.34,2590450,0.4602434709192646
21122,SET/10 PINK POLKADOT PARTY CANDLES,5331,6496.04,2595781,0.46119062602492983
23232,WRAP VINTAGE LEAF DESIGN,5326,2140.92,2601107,0.4621368927840319
22983,CARD BILLBOARD FONT,5302,2261.6,2606409,0.46307889547963077
21669,BLUE STRIPE CERAMIC DRAWER KNOB,5285,7136.0,2611694,0.4640178777969147
22704,WRAP RED APPLES ,5278,2168.76,2616972,0.4649556164290103
21967,PACK OF 12 SKULL TISSUES,5275,1583.4099999999999,2622247,0.4658928220531679
22608,PENS ASSORTED FUNKY JEWELED ,5247,1121.48,2627494,0.4668250529365717
22992,REVOLVER WOODEN RULER ,5236,10379.84,2632730,0.4677553294575365
21976,PACK OF 60 MUSHROOM CAKE CASES,5230,2886.9500000000003,2637960,0.4686845399626255
22661,CHARLOTTE BAG DOLLY GIRL DESIGN,5214,4231.95,2643174,0.4696109077587123
22084,PAPER CHAIN KIT EMPIRE,5189,15122.970000000001,2648363,0.4705328338219832
23233,WRAP POPPIES  DESIGN,5175,2105.5,2653538,0.47145227251487715
22950,36 DOILIES VINTAGE CHRISTMAS,5172,7061.73,2658710,0.4723711781998332
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,5170,1988.8899999999999,2663880,0.47328972854616397
21704,BAG 250g SWIRLY MARBLES,5144,4039.2799999999997,2669024,0.47420365949036625
22652,TRAVEL SEWING KIT,5097,8620.32,2674121,0.47510923997687454
23144,ZINC T-LIGHT HOLDER STARS SMALL,5089,4197.83,2679210,0.4760133991088818
22161,HEART DECORATION RUSTIC HANGING ,5088,1647.16,2684298,0.4769173805715764
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,5078,2570.52,2689376,0.4778195853411446
20676,RED RETROSPOT BOWL,5076,6441.06,2694452,0.47872143477208756
35970,ZINC FOLKART SLEIGH BELLS,5070,9546.53,2699522,0.4796222181871547
23286,BLUE VINTAGE SPOT BEAKER,5048,4747.62,2704570,0.48051909287734385
23581,JUMBO BAG PAISLEY PARK,5035,11613.03,2709605,0.4814136578664687
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,5022,6815.9,2714627,0.4823059131545293
20711,JUMBO BAG TOYS ,5008,11014.62,2719635,0.483195681072213
16237,SLEEPING CAT ERASERS,4994,1048.56,2724629,0.48408296161951975
23296,SET OF 6 TEA TIME BAKING CASES,4981,5988.05,2729610,0.48496793246576225
22834,HAND WARMER BABUSHKA DESIGN,4970,7136.2300000000005,2734580,0.4858509489495657
21506,"FANCY FONT BIRTHDAY CARD, ",4958,2101.0099999999998,2739538,0.4867318334016176
22138,BAKING SET 9 PIECE RETROSPOT ,4948,24239.72,2744486,0.48761094116054304
22959,WRAP CHRISTMAS VILLAGE,4901,2014.42,2749387,0.48848169846177464
22620,4 TRADITIONAL SPINNING TOPS,4895,6789.46,2754282,0.4893513897471304
22188,BLACK HEART CARD HOLDER,4871,12487.17,2759153,0.49021681696898284
22633,HAND WARMER UNION JACK,4867,10057.320000000002,2764020,0.4910815335135848
23582,VINTAGE DOILY JUMBO BAG RED ,4815,10233.45,2768835,0.4919370112539296
22996,TRAVEL CARD WALLET VINTAGE TICKET,4813,2099.97,2773648,0.49279213365564917
23285,PINK VINTAGE SPOT BEAKER,4807,4572.41,2778455,0.4936461900414929
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4805,23514.170000000002,2783260,0.49449989108871134
84949,SILVER HANGING T-LIGHT HOLDER,4801,7642.44,2788061,0.4953528814586793
82600,NO SINGING METAL SIGN,4789,10195.86,2792850,0.4962037397968955
23005,TRAVEL CARD WALLET I LOVE LONDON,4783,2147.55,2797633,0.49705353211923603
20718,RED RETROSPOT SHOPPER BAG,4776,6613.04,2802409,0.49790208075638803
84029E,RED WOOLLY HOTTIE WHITE HEART.,4765,22144.98,2807174,0.49874867503110104
22536,MAGIC DRAWING SLATE PURDEY,4755,1805.21,2811929,0.49959349261268765
23321,SMALL WHITE HEART OF WICKER,4737,8473.269999999999,2816666,0.5004351121466468
22557,PLASTERS IN TIN VINTAGE PAISLEY ,4721,7777.089999999999,2821387,0.5012738889716039
21136,PAINTED METAL PEARS ASSORTED,4709,7830.32,2826096,0.5021105337648092
23231,WRAP DOILEY DESIGN,4703,1927.26,2830799,0.5029461125421387
22338,STAR DECORATION PAINTED ZINC ,4683,1234.67,2835482,0.5037781379332156
22111,SCOTTIE DOG HOT WATER BOTTLE,4666,24509.84,2840148,0.5046071429459775
22083,PAPER CHAIN KIT RETROSPOT,4658,14159.54,2844806,0.5054347266042384
23288,GREEN VINTAGE SPOT BEAKER,4625,4444.2300000000005,2849431,0.5062564471751823
21811,HANGING HEART WITH BELL,4620,2376.0499999999997,2854051,0.507077279399563
21916,SET 12 RETRO WHITE CHALK STICKS,4600,1973.9099999999999,2858651,0.507894558237691
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,2863214,0.5087052633112514
84946,ANTIQUE SILVER TEA GLASS ETCHED,4558,6478.01,2867772,0.5095150800382486
22139,RETROSPOT TEA SET CERAMIC 11 PC ,4527,22912.81,2872299,0.5103193890165542
22544,MINI JIGSAW SPACEBOY,4521,1716.1799999999998,2876820,0.5111226319789839
22273,FELTCRAFT DOLL MOLLY,4514,12016.34,2881334,0.5119246312562251
20973,12 PENCIL SMALL TUBE WOODLAND,4506,3216.1200000000003,2885840,0.5127252091789652
22710,WRAP I LOVE LONDON ,4501,1774.42,2890341,0.5135248987551422
22534,MAGIC DRAWING SLATE SPACEBOY ,4496,1871.12,2894837,0.514323699984756
22333,RETROSPOT PARTY BAG + STICKER SET,4494,7047.24,2899331,0.5151221458757445
22712,CARD DOLLY GIRL ,4483,1842.36,2903814,0.515918637404294
20992,JAZZ HEARTS PURSE NOTEBOOK,4451,1965.81,2908265,0.5167094435148392
21169,YOU'RE CONFUSING ME METAL SIGN ,4424,7320.36,2912689,0.517495452553943
21671,RED SPOT CERAMIC DRAWER KNOB,4421,6078.54,2917110,0.5182809285851091
23294,SET OF 6 SNACK LOAF BAKING CASES,4420,3631.0499999999997,2921530,0.5190662269469625
62018,SOMBRERO ,4415,5716.85,2925945,0.5198506369622528
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,4396,6071.75,2930341,0.5206316712606028
22027,TEA PARTY BIRTHDAY CARD,4392,1883.79,2934733,0.5214119948817024
22908,PACK OF 20 NAPKINS RED APPLES,4385,3573.83,2939118,0.5221910748176136
22041,"RECORD FRAME 7"" SINGLE SIZE ",4374,11354.56,2943492,0.5229682003910857
21670,BLUE SPOT CERAMIC DRAWER KNOB,4372,6141.29,2947864,0.5237449706259325
82582,AREA PATROLLED METAL SIGN,4367,8862.990000000002,2952231,0.5245208525142162
22970,LONDON BUS COFFEE MUG,4367,10224.75,2956598,0.5252967344024999
22632,HAND WARMER RED RETROSPOT,4354,8770.43,2960952,0.5260703065897193
84375,SET OF 20 KIDS COOKIE CUTTERS,4322,9404.150000000001,2965274,0.5268381933589343
84988,SET OF 72 PINK HEART PAPER DOILIES,4312,6672.7,2969586,0.527604303435023
