StockCode,avgPrice,totalQty,totalSales,mainCountry,Description,firstPurchase,lastPurchase,frequency,uniqueCustomers,Recency,Monetary
16011,0.21,1773,372.33,United Kingdom,ANIMAL STICKERS,2010-12-05 12:53:00,2011-12-07 12:41:00,47,38,2,372.33
16012,0.21,1244,261.24,United Kingdom,FOOD/DRINK SPONGE STICKERS,2010-12-02 13:32:00,2011-12-05 14:49:00,37,33,3,261.24
16014,0.4,13328,4335.76,United Kingdom,SMALL CHINESE STYLE SCISSOR,2010-12-01 12:15:00,2011-12-09 08:48:00,54,34,0,4335.76
16015,0.49,662,289.98,United Kingdom,MEDIUM CHINESE STYLE SCISSOR,2010-12-09 14:10:00,2011-11-17 17:34:00,24,19,21,289.98
16016,0.85,1273,1053.45,United Kingdom,LARGE CHINESE STYLE SCISSOR,2010-12-01 12:15:00,2011-12-09 12:31:00,65,41,0,1053.45
16033,0.12,840,100.8,United Kingdom,MINI HIGHLIGHTER PENS,2010-12-12 10:48:00,2011-02-17 15:40:00,4,4,294,100.8
16043,0.12,98,11.76,United Kingdom,POP ART PUSH DOWN RUBBER ,2011-06-07 10:44:00,2011-06-09 19:33:00,2,2,182,11.76
16045,0.04,8900,380.0,United Kingdom,POPART WOODEN PENCILS ASST,2010-12-22 14:28:00,2011-12-05 12:08:00,69,61,4,380.0
16046,0.85,67,56.95,United Kingdom,TEATIME PEN CASE & PENS,2010-12-02 11:35:00,2011-11-28 11:26:00,16,13,11,56.95
16048,0.13,1437,186.84,United Kingdom,TEATIME ROUND PENCIL SHARPENER ,2010-12-16 14:34:00,2011-11-25 11:02:00,49,41,14,186.84
16049,0.24,504,82.08,United Kingdom,TEATIME GEL PENS ASST,2011-04-26 11:51:00,2011-05-25 11:44:00,5,5,198,82.08
16052,0.3,467,105.29,United Kingdom,TEATIME PUSH DOWN RUBBER,2011-01-26 12:29:00,2011-06-09 19:33:00,6,5,182,105.29
16054,0.13,1166,140.52,United Kingdom,POPART RECT PENCIL SHARPENER ASST,2010-12-10 11:33:00,2011-12-04 13:59:00,33,29,4,140.52
16216,0.09,3316,227.14,United Kingdom,LETTER SHAPE PENCIL SHARPENER,2010-12-12 13:47:00,2011-12-07 12:41:00,41,38,2,227.14
16218,0.07,3760,253.2,United Kingdom,CARTOON  PENCIL SHARPENERS,2010-12-12 12:08:00,2011-12-06 11:33:00,50,43,3,253.2
16219,0.09,2915,309.9,United Kingdom,HOUSE SHAPE PENCIL SHARPENER,2010-12-16 14:34:00,2011-12-01 12:01:00,47,41,8,309.9
16225,1.19,762,599.34,United Kingdom,RATTLE SNAKE EGGS,2010-12-12 10:48:00,2011-12-08 20:01:00,77,57,0,599.34
16235,0.21,2665,525.75,United Kingdom,RECYCLED PENCIL WITH RABBIT ERASER,2010-12-02 12:16:00,2011-12-07 12:41:00,81,68,2,525.75
16236,0.21,1296,266.56,United Kingdom,KITTY PENCIL ERASERS,2010-12-10 11:24:00,2011-12-08 11:43:00,73,59,1,266.56
16237,0.21,4598,886.08,United Kingdom,SLEEPING CAT ERASERS,2010-12-01 11:41:00,2011-12-08 19:57:00,169,109,0,886.08
16238,0.24,1261,265.51,United Kingdom,PARTY TIME PENCIL ERASERS,2010-12-01 11:45:00,2011-12-08 11:43:00,80,61,1,265.51
16254,1.02,31,27.91,United Kingdom,TRANSPARENT ACRYLIC TAPE DISPENSER,2011-06-15 11:56:00,2011-11-30 14:17:00,9,7,8,27.91
16259,0.1,3380,326.56,United Kingdom,PIECE OF CAMO STATIONERY SET,2011-03-17 15:03:00,2011-11-13 11:55:00,31,28,26,326.56
17001,0.29,72,20.88,United Kingdom,HEAVENS SCENT FRAGRANCE OILS ASSTD,2011-02-28 14:48:00,2011-02-28 14:48:00,1,1,283,20.88
17003,0.32,22963,5980.05,United Kingdom,BROCADE RING PURSE ,2010-12-01 16:33:00,2011-12-08 11:25:00,209,136,1,5980.05
17021,0.29,2427,643.14,United Kingdom,NAMASTE SWAGAT INCENSE,2010-12-01 12:12:00,2011-12-05 12:59:00,57,30,3,643.14
17038,0.1,1501,138.1,United Kingdom,PORCELAIN BUDAH INCENSE HOLDER,2010-12-07 13:50:00,2011-11-24 12:48:00,19,18,15,138.1
17096,0.2,2516,443.76,United Kingdom,ASSORTED LAQUERED INCENSE HOLDERS,2010-12-12 12:03:00,2011-07-19 15:30:00,13,12,142,443.76
17174,0.42,9,3.78,United Kingdom,ASSTD RASTA KEY-CHAINS,2011-01-16 13:04:00,2011-11-24 15:01:00,3,3,14,3.78
18007,0.17,5856,383.76,United Kingdom,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2010-12-06 10:18:00,2011-07-19 17:04:00,18,15,142,383.76
20615,1.48,231,233.34,United Kingdom,BLUE POLKADOT PASSPORT COVER,2010-12-02 19:18:00,2011-12-08 20:01:00,35,28,0,233.34
20616,1.32,134,122.78,United Kingdom,CHERRY BLOSSOM PASSPORT COVER,2010-12-01 14:41:00,2011-12-08 20:01:00,25,19,0,122.78
20617,2.22,66,137.74,United Kingdom,FIRST CLASS PASSPORT COVER ,2010-12-14 14:15:00,2011-11-28 13:37:00,26,20,10,137.74
20618,2.07,68,137.88,United Kingdom,QUEEN OF THE SKIES PASSPORT COVER ,2010-12-08 12:46:00,2011-12-06 16:21:00,28,20,2,137.88
20619,2.31,142,206.23,United Kingdom,TROPICAL PASSPORT COVER ,2010-12-16 17:43:00,2011-11-28 15:54:00,22,16,10,206.23
20622,1.99,163,240.18,United Kingdom,VIPPASSPORT COVER ,2010-12-14 11:48:00,2011-11-28 11:18:00,33,24,11,240.18
20652,1.42,150,194.76,United Kingdom,BLUE POLKADOT LUGGAGE TAG ,2010-12-03 14:54:00,2011-12-08 20:01:00,36,26,0,194.76
20653,1.65,33,43.67,United Kingdom,CHERRY BLOSSOM LUGGAGE TAG,2011-03-10 12:48:00,2011-12-05 17:17:00,6,5,3,43.67
20654,1.23,105,126.69,United Kingdom,FIRST CLASS LUGGAGE TAG ,2010-12-10 11:01:00,2011-12-04 13:32:00,24,21,4,126.69
20655,1.31,89,109.11,United Kingdom,QUEEN OF SKIES LUGGAGE TAG,2010-12-05 15:12:00,2011-12-04 13:32:00,34,20,4,109.11
20657,1.35,61,76.39,United Kingdom,TROPICAL LUGGAGE TAG,2010-12-03 14:54:00,2011-11-07 10:58:00,22,20,32,76.39
20658,1.25,328,410.0,United Kingdom,RED RETROSPOT LUGGAGE TAG,2010-12-03 14:54:00,2011-09-26 13:57:00,62,44,73,410.0
20659,1.54,95,140.81,United Kingdom,ECONOMY LUGGAGE TAG,2010-12-05 15:12:00,2011-12-06 13:20:00,32,18,2,140.81
20661,4.65,9,35.07,United Kingdom,BLUE POLKADOT PURSE ,2010-12-03 14:54:00,2011-10-31 14:09:00,5,3,38,35.07
20662,4.09,11,40.97,United Kingdom,FIRST CLASS HOLIDAY PURSE ,2011-01-12 12:31:00,2011-10-24 17:07:00,5,4,45,40.97
20663,3.9,3,11.69,United Kingdom,QUEEN OF THE SKIES HOLIDAY PURSE ,2010-12-12 16:14:00,2011-10-17 13:31:00,3,3,52,11.69
20664,2.95,6,17.7,United Kingdom,TROPICAL HOLIDAY PURSE ,2010-12-12 12:08:00,2010-12-21 17:16:00,3,3,352,17.7
20665,2.94,340,998.2,United Kingdom,RED RETROSPOT PURSE ,2010-12-02 15:46:00,2011-10-21 12:05:00,73,58,49,998.2
20666,2.95,4,11.8,United Kingdom,ECONOMY HOLIDAY PURSE,2010-12-12 12:26:00,2011-04-10 11:35:00,4,4,243,11.8
20667,2.95,1,2.95,United Kingdom,CHERRY BLOSSOM PURSE,2011-05-31 11:39:00,2011-05-31 11:39:00,1,1,192,2.95
20668,0.12,12714,1408.56,United Kingdom,DISCO BALL CHRISTMAS DECORATION,2010-12-01 10:19:00,2011-12-09 10:51:00,188,111,0,1408.56
20669,1.25,195,243.75,United Kingdom,RED HEART LUGGAGE TAG,2010-12-01 11:45:00,2011-11-27 14:40:00,47,36,11,243.75
20670,3.9,8,29.28,United Kingdom,VIP HOLIDAY PURSE,2010-12-12 12:08:00,2011-11-15 16:38:00,6,5,23,29.28
20671,1.25,10,12.5,United Kingdom,BLUE TEATIME PRINT BOWL ,2010-12-05 13:55:00,2010-12-09 13:34:00,2,2,364,12.5
20674,1.25,1373,1649.06,United Kingdom,GREEN POLKADOT BOWL,2010-12-02 11:21:00,2011-12-08 15:31:00,152,101,0,1649.06
20675,1.24,2729,3179.9,United Kingdom,BLUE POLKADOT BOWL,2010-12-02 12:47:00,2011-12-08 15:31:00,226,149,0,3179.9
20676,1.24,4363,5046.98,United Kingdom,RED RETROSPOT BOWL,2010-12-02 11:21:00,2011-12-08 15:31:00,304,185,0,5046.98
20677,1.26,3159,3642.58,United Kingdom,PINK POLKADOT BOWL,2010-12-02 12:50:00,2011-12-08 15:31:00,224,133,0,3642.58
20678,1.65,4,6.6,EIRE,LARGE BLACK DIAMANTE HAIRSLIDE,2011-09-23 14:49:00,2011-09-23 14:49:00,1,1,76,6.6
20679,5.92,1630,9055.87,United Kingdom,EDWARDIAN PARASOL RED,2010-12-01 09:02:00,2011-12-08 15:54:00,271,141,0,9055.87
20681,3.25,125,406.25,United Kingdom,PINK POLKADOT CHILDRENS UMBRELLA,2010-12-02 19:59:00,2011-03-10 13:58:00,34,29,273,406.25
20682,3.31,1140,3629.66,United Kingdom,RED RETROSPOT CHILDRENS UMBRELLA,2010-12-01 17:35:00,2011-12-07 15:02:00,183,138,1,3629.66
20684,3.25,78,253.5,United Kingdom,STRAWBERRY DREAM CHILDS UMBRELLA,2010-12-05 12:13:00,2011-07-22 10:52:00,33,30,140,253.5
20685,7.76,3901,25397.85,United Kingdom,DOORMAT RED RETROSPOT,2010-12-01 11:41:00,2011-12-09 12:49:00,579,329,0,25397.85
20686,3.3,255,832.13,United Kingdom,DOLLY MIXTURE CHILDREN'S UMBRELLA,2010-12-05 12:00:00,2011-12-08 13:50:00,65,51,0,832.13
20694,3.75,36,135.0,United Kingdom,FLORAL PINK MONSTER,2011-02-07 11:20:00,2011-10-31 13:58:00,11,9,38,135.0
20695,4.25,5,21.25,United Kingdom,FLORAL BLUE MONSTER,2010-12-08 15:17:00,2011-11-17 15:08:00,4,4,21,21.25
20696,3.75,32,120.0,United Kingdom,FLORAL SOFT CAR TOY,2010-12-17 11:30:00,2011-11-04 15:08:00,10,10,34,120.0
20697,2.55,19,48.45,United Kingdom,LITTLE GREEN MONSTER SOFT TOY,2010-12-03 17:28:00,2011-11-23 12:20:00,11,8,16,48.45
20698,2.55,16,40.8,United Kingdom,LITTLE PINK MONSTER SOFT TOY,2011-01-11 12:41:00,2011-11-23 12:20:00,8,7,16,40.8
20699,2.55,29,73.95,United Kingdom,MOUSEY LONG LEGS SOFT TOY,2010-12-03 17:28:00,2011-12-05 17:36:00,11,11,3,73.95
20700,3.75,10,37.5,United Kingdom,GREEN CAT FLORAL CUSHION COVER ,2010-12-21 16:06:00,2011-06-20 13:27:00,4,4,171,37.5
20701,3.75,6,22.5,United Kingdom,PINK CAT FLORAL CUSHION COVER ,2010-12-23 16:06:00,2011-06-20 13:27:00,3,3,171,22.5
20702,4.25,128,544.0,United Kingdom,PINK PADDED MOBILE,2010-12-05 13:42:00,2011-10-26 13:07:00,41,31,43,544.0
20703,4.25,1,4.25,United Kingdom,BLUE PADDED SOFT MOBILE,2011-04-14 11:45:00,2011-04-14 11:45:00,1,1,239,4.25
20704,4.77,211,626.45,United Kingdom,MR ROBOT SOFT TOY,2010-12-13 15:44:00,2011-12-09 10:46:00,39,38,0,626.45
20705,4.81,143,428.85,United Kingdom,MRS ROBOT SOFT TOY,2010-12-14 12:59:00,2011-12-06 12:19:00,28,27,3,428.85
20707,1.54,155,195.52,United Kingdom,CRAZY DAISY HEART DECORATION,2010-12-01 12:43:00,2011-12-05 17:17:00,31,20,3,195.52
20711,2.01,4198,7689.28,United Kingdom,JUMBO BAG TOYS ,2010-12-01 14:11:00,2011-11-28 09:40:00,247,152,11,7689.28
20712,2.04,8187,15511.6,United Kingdom,JUMBO BAG WOODLAND ANIMALS,2010-12-01 13:04:00,2011-12-08 11:43:00,497,248,1,15511.6
20713,2.02,10466,19076.92,United Kingdom,JUMBO BAG OWLS,2010-12-01 11:45:00,2011-12-09 12:19:00,421,207,0,19076.92
20716,1.24,314,373.5,United Kingdom,PARTY FOOD SHOPPER BAG,2010-12-08 12:06:00,2011-06-29 11:46:00,35,31,163,373.5
20717,1.28,2036,2455.88,United Kingdom,STRAWBERRY SHOPPER BAG,2010-12-01 11:45:00,2011-12-08 20:01:00,236,150,0,2455.88
20718,1.27,4264,5115.31,United Kingdom,RED RETROSPOT SHOPPER BAG,2010-12-02 15:18:00,2011-12-09 10:10:00,390,236,0,5115.31
20719,0.85,9237,7277.24,United Kingdom,WOODLAND CHARLOTTE BAG,2010-12-02 15:19:00,2011-12-08 15:09:00,546,238,0,7277.24
20723,0.86,6847,5520.95,United Kingdom,STRAWBERRY CHARLOTTE BAG,2010-12-01 09:37:00,2011-12-07 12:33:00,500,230,2,5520.95
20724,0.85,12809,10125.85,United Kingdom,RED RETROSPOT CHARLOTTE BAG,2010-12-02 14:47:00,2011-12-09 10:10:00,751,335,0,10125.85
20725,1.66,17897,28338.45,United Kingdom,LUNCH BAG RED RETROSPOT,2010-12-01 09:37:00,2011-12-09 12:23:00,1317,532,0,28338.45
20726,1.66,9115,14537.11,United Kingdom,LUNCH BAG WOODLAND,2010-12-01 11:21:00,2011-12-08 20:01:00,842,372,0,14537.11
20727,1.64,11291,18024.55,United Kingdom,LUNCH BAG  BLACK SKULL.,2010-12-01 11:29:00,2011-12-09 11:34:00,1105,458,0,18024.55
20728,1.66,10820,17265.68,United Kingdom,LUNCH BAG CARS BLUE,2010-12-01 11:29:00,2011-12-07 16:47:00,989,479,1,17265.68
20731,1.25,74,92.5,United Kingdom,POSY CANDY BAG,2010-12-06 12:15:00,2011-06-20 14:48:00,8,8,171,92.5
20733,0.84,918,688.9,United Kingdom,GOLD MINI TAPE MEASURE ,2010-12-02 11:35:00,2011-12-08 13:50:00,49,30,0,688.9
20735,0.85,158,121.3,United Kingdom,BLACK MINI TAPE MEASURE ,2010-12-08 12:08:00,2011-12-06 14:23:00,30,11,2,121.3
20748,12.75,53,675.75,United Kingdom,KENSINGTON COFFEE SET,2010-12-05 13:42:00,2011-11-28 13:06:00,30,26,10,675.75
20749,7.79,1719,12123.41,United Kingdom,ASSORTED COLOUR MINI CASES,2010-12-01 11:21:00,2011-12-09 09:38:00,368,239,0,12123.41
20750,7.75,1712,12216.8,United Kingdom,RED RETROSPOT MINI CASES,2010-12-01 11:49:00,2011-12-09 11:59:00,367,235,0,12216.8
20751,2.1,973,1984.26,United Kingdom,FUNKY WASHING UP GLOVES ASSORTED,2010-12-02 15:46:00,2011-12-04 12:32:00,197,127,5,1984.26
20752,2.1,367,770.7,United Kingdom,BLUE POLKADOT WASHING UP GLOVES,2010-12-02 15:46:00,2011-11-27 14:50:00,117,91,11,770.7
20754,2.09,1356,2670.48,United Kingdom,RETROSPOT RED WASHING UP GLOVES,2010-12-01 12:43:00,2011-11-20 14:43:00,243,153,18,2670.48
20755,0.85,292,248.2,United Kingdom,BLUE PAISLEY POCKET BOOK,2010-12-01 17:35:00,2011-12-07 12:26:00,51,44,2,248.2
20756,0.85,63,53.55,United Kingdom,GREEN FERN POCKET BOOK,2011-01-20 14:13:00,2011-11-22 15:45:00,22,20,16,53.55
20757,0.87,164,140.18,United Kingdom,RED DAISY POCKET BOOK ,2010-12-02 14:09:00,2011-11-27 12:13:00,33,30,12,140.18
20758,0.85,161,136.85,United Kingdom,ABSTRACT CIRCLES POCKET BOOK,2010-12-09 14:19:00,2011-12-07 13:53:00,44,35,1,136.85
20759,0.85,64,54.4,United Kingdom,CHRYSANTHEMUM POCKET BOOK ,2010-12-02 14:09:00,2011-12-07 13:53:00,20,17,1,54.4
20760,0.85,69,58.65,United Kingdom,GARDEN PATH POCKET BOOK,2010-12-02 14:09:00,2011-11-24 14:09:00,22,18,14,58.65
20761,3.82,110,419.92,United Kingdom,BLUE PAISLEY SKETCHBOOK,2010-12-08 14:46:00,2011-12-07 12:21:00,55,46,2,419.92
20762,3.82,101,382.46,United Kingdom,GREEN FERN SKETCHBOOK ,2010-12-07 15:39:00,2011-12-06 12:56:00,51,42,2,382.46
20763,3.7,71,189.96,United Kingdom,DAISY SKETCHBOOK ,2010-12-08 12:36:00,2011-12-06 12:15:00,25,24,3,189.96
20764,3.93,128,491.13,United Kingdom,ABSTRACT CIRCLES SKETCHBOOK ,2010-12-05 13:00:00,2011-12-06 14:35:00,62,45,2,491.13
20765,3.96,96,374.84,United Kingdom,CHRYSANTHEMUM SKETCHBOOK ,2010-12-01 17:24:00,2011-12-05 17:17:00,53,45,3,374.84
20766,3.88,113,422.08,United Kingdom,GARDEN PATH SKETCHBOOK,2010-12-02 15:46:00,2011-12-04 15:00:00,50,41,4,422.08
20767,2.62,217,541.97,United Kingdom,BLUE PAISLEY JOURNAL ,2010-12-03 11:19:00,2011-12-06 14:35:00,61,50,2,541.97
20768,2.6,131,320.26,United Kingdom,GREEN FERN JOURNAL ,2010-12-01 16:57:00,2011-12-06 15:43:00,37,31,2,320.26
20769,2.64,66,173.12,United Kingdom,DAISY JOURNAL ,2010-12-06 12:06:00,2011-12-06 15:43:00,26,21,2,173.12
20770,2.53,108,259.2,United Kingdom,ABSTRACT CIRCLE JOURNAL ,2010-12-05 16:41:00,2011-11-27 11:47:00,29,24,12,259.2
20771,2.64,71,183.46,United Kingdom,CHRYSANTHEMUM  JOURNAL,2010-12-05 16:41:00,2011-12-06 12:56:00,28,21,2,183.46
20772,2.59,218,534.46,United Kingdom,GARDEN PATH JOURNAL,2010-12-01 12:43:00,2011-12-08 19:28:00,46,40,0,534.46
20773,1.65,56,92.4,United Kingdom,BLUE PAISLEY NOTEBOOK,2010-12-01 12:15:00,2011-09-12 13:43:00,24,21,87,92.4
20774,1.65,52,85.8,United Kingdom,GREEN FERN NOTEBOOK,2010-12-01 12:15:00,2011-09-26 10:39:00,23,21,74,85.8
20775,1.65,64,105.6,United Kingdom,DAISY NOTEBOOK ,2010-12-06 12:44:00,2011-11-30 17:37:00,22,19,8,105.6
20777,1.65,95,156.75,United Kingdom,CHRYSANTHEMUM NOTEBOOK,2010-12-01 12:15:00,2011-11-30 17:37:00,36,32,8,156.75
20778,1.65,15,24.75,United Kingdom,GARDEN PATH NOTEBOOK ,2010-12-09 14:19:00,2011-04-26 13:22:00,8,8,226,24.75
20780,5.72,37,198.35,United Kingdom,BLACK EAR MUFF HEADPHONES,2010-12-01 16:57:00,2011-11-25 11:20:00,19,13,14,198.35
20781,4.87,32,161.52,United Kingdom,GOLD EAR MUFF HEADPHONES,2010-12-06 08:34:00,2011-12-07 14:12:00,23,19,1,161.52
20782,5.59,40,221.36,United Kingdom,CAMOUFLAGE EAR MUFF HEADPHONES,2010-12-07 09:13:00,2011-12-06 12:56:00,18,12,2,221.36
20785,39.15,14,523.3,United Kingdom,FUSCHIA RETRO BAR STOOL,2011-01-05 15:56:00,2011-04-06 12:08:00,5,4,247,523.3
20793,6.75,8,54.0,United Kingdom,BLUE TILED TRAY,2010-12-12 12:01:00,2011-09-08 10:35:00,4,4,92,54.0
20794,2.52,85,213.15,United Kingdom,BLUE  TILE HOOK,2010-12-17 12:24:00,2011-12-05 14:39:00,16,15,3,213.15
20795,2.1,44,92.4,United Kingdom,LARGE BLUE PROVENCAL CERAMIC BALL,2011-01-24 14:54:00,2011-12-02 13:17:00,8,6,6,92.4
20796,1.65,61,100.65,United Kingdom,SMALL BLUE PROVENCAL CERAMIC BALL,2011-03-01 17:32:00,2011-11-10 12:01:00,8,8,29,100.65
20798,2.1,36,75.6,United Kingdom,CLEAR MILKSHAKE GLASS,2010-12-02 12:28:00,2011-01-25 13:38:00,5,5,317,75.6
20801,0.94,848,708.16,United Kingdom,LARGE PINK GLASS SUNDAE DISH,2010-12-13 09:09:00,2011-05-25 16:08:00,55,47,197,708.16
20802,1.47,648,730.44,United Kingdom,SMALL GLASS SUNDAE DISH CLEAR,2010-12-06 08:34:00,2011-11-28 10:31:00,44,40,11,730.44
20803,0.52,917,386.25,United Kingdom,SMALL PINK GLASS SUNDAE DISH,2010-12-13 15:46:00,2011-05-01 13:45:00,32,26,221,386.25
20816,1.95,8,15.6,United Kingdom,GOLD FLOWER CUSHION COVER ,2011-04-28 13:17:00,2011-04-28 19:53:00,2,1,224,15.6
20818,2.5,12,20.0,United Kingdom,GOLD TEDDY BEAR,2011-01-28 15:29:00,2011-05-04 13:36:00,2,2,218,20.0
20819,3.98,48,183.71,United Kingdom,SILVER TEDDY BEAR,2010-12-06 15:13:00,2011-11-30 11:17:00,16,14,9,183.71
20820,4.95,5,24.75,United Kingdom,SILVER LOOKING MIRROR,2010-12-01 11:21:00,2011-03-01 17:28:00,2,2,282,24.75
20821,4.95,16,79.2,United Kingdom,GOLDIE LOOKING MIRROR,2011-04-05 13:48:00,2011-11-23 15:53:00,5,5,15,79.2
20823,0.79,164,129.56,United Kingdom,GOLD WINE GOBLET,2011-04-19 14:49:00,2011-06-09 14:23:00,8,6,182,129.56
20826,0.82,276,128.4,United Kingdom,SILVER APERITIF GLASS,2010-12-13 15:12:00,2011-05-18 11:08:00,8,7,205,128.4
20827,0.39,88,34.32,United Kingdom,GOLD APERITIF GLASS,2011-04-19 14:49:00,2011-04-21 12:34:00,2,1,232,34.32
20828,2.54,1012,2494.2,United Kingdom,GLITTER BUTTERFLY CLIPS,2010-12-02 13:32:00,2011-12-06 16:21:00,186,116,2,2494.2
20829,2.15,1265,2530.49,United Kingdom,GLITTER HANGING BUTTERFLY STRING,2010-12-03 17:20:00,2011-12-06 14:23:00,169,90,2,2530.49
20830,2.1,75,157.5,United Kingdom,SILVER PHOTO FRAME,2010-12-12 10:48:00,2011-10-02 15:33:00,20,19,67,157.5
20831,1.86,169,272.34,United Kingdom,GOLD PHOTO FRAME,2010-12-12 10:48:00,2011-12-09 10:20:00,24,19,0,272.34
20832,0.57,1034,527.04,United Kingdom,RED FLOCK LOVE HEART PHOTO FRAME,2010-12-02 12:16:00,2011-12-09 12:25:00,57,47,0,527.04
20835,0.83,66,54.78,United Kingdom,FRENCH LATTICE CUSHION COVER ,2011-05-03 09:05:00,2011-11-10 15:23:00,7,7,28,54.78
20836,0.83,170,141.1,United Kingdom,FRENCH PAISLEY CUSHION COVER,2011-05-03 10:43:00,2011-11-24 11:52:00,17,14,15,141.1
20837,0.97,141,142.47,United Kingdom,FRENCH FLORAL CUSHION COVER ,2011-02-17 14:51:00,2011-11-20 11:06:00,15,14,19,142.47
20838,0.92,330,282.94,United Kingdom,FRENCH LATTICE CUSHION COVER ,2011-05-03 10:43:00,2011-11-23 16:34:00,33,30,15,282.94
20839,0.99,452,411.84,United Kingdom,FRENCH PAISLEY CUSHION COVER ,2010-12-07 14:41:00,2011-12-07 11:06:00,49,44,2,411.84
20840,0.96,464,399.28,United Kingdom,FRENCH FLORAL CUSHION COVER ,2011-04-27 15:08:00,2011-12-06 17:49:00,44,35,2,399.28
20845,6.35,19,120.65,United Kingdom,ZINC HEART LATTICE 2 WALL PLANTER,2011-01-18 13:05:00,2011-08-16 13:13:00,11,7,114,120.65
20846,1.26,647,785.47,United Kingdom,ZINC HEART LATTICE T-LIGHT HOLDER,2010-12-13 15:12:00,2011-12-07 09:22:00,64,50,2,785.47
20847,3.75,46,172.5,United Kingdom,ZINC HEART LATTICE CHARGER LARGE,2010-12-13 15:12:00,2011-11-25 11:54:00,14,12,14,172.5
20848,2.95,21,61.95,United Kingdom,ZINC HEART LATTICE CHARGER SMALL,2010-12-13 15:12:00,2011-11-06 14:45:00,8,7,32,61.95
20851,5.95,9,53.55,United Kingdom,ZINC HEART LATTICE TRAY OVAL ,2011-01-30 13:48:00,2011-04-27 16:54:00,7,5,225,53.55
20854,1.64,166,256.1,United Kingdom,BLUE PATCH PURSE PINK HEART,2010-12-03 14:54:00,2011-02-20 12:01:00,18,16,292,256.1
20856,1.65,140,231.0,United Kingdom,DENIM PATCH PURSE PINK BUTTERFLY,2010-12-05 11:40:00,2011-08-09 14:18:00,27,26,121,231.0
20857,1.65,32,52.8,United Kingdom,BLUE ROSE PATCH PURSE PINK BUTTERFL,2010-12-07 10:06:00,2011-02-17 13:28:00,8,7,294,52.8
20861,2.1,2,4.2,United Kingdom,GOLD COSMETIC BAG PINK STAR,2010-12-06 12:55:00,2010-12-10 11:24:00,2,2,364,4.2
20866,1.3,409,488.59,United Kingdom,BLUE ROSE FABRIC MIRROR,2010-12-01 12:23:00,2011-12-06 12:21:00,38,34,3,488.59
20867,1.24,187,231.47,United Kingdom,PINK ROSE FABRIC MIRROR,2010-12-01 13:51:00,2011-12-06 12:21:00,25,23,3,231.47
20868,0.57,381,159.26,United Kingdom,SILVER FABRIC MIRROR,2010-12-10 11:12:00,2011-12-08 19:24:00,31,29,0,159.26
20869,0.39,139,54.21,United Kingdom,GOLD FABRIC MIRROR,2011-06-15 13:35:00,2011-12-08 19:24:00,18,17,0,54.21
20878,1.25,25,31.25,United Kingdom,SET/9 CHRISTMAS T-LIGHTS SCENTED ,2010-12-01 12:23:00,2010-12-05 16:24:00,8,7,368,31.25
20886,1.95,453,853.35,United Kingdom,BOX OF 9 PEBBLE CANDLES,2010-12-08 15:17:00,2011-11-06 14:50:00,79,56,32,853.35
20892,12.75,1,12.75,United Kingdom,SET/3 TALL GLASS CANDLE HOLDER PINK,2010-12-08 15:17:00,2010-12-08 15:17:00,1,1,365,12.75
